Organization Name,Address1,City,State,Zip Code,Borough,Neighborhood,Phone1,Fax,Website,Job Placement Services,Financial Aid Services,Contact FirstName,Contact LastName,course name,CourseDescription,Keywords,Cost Total,Cost Includes,Cost Does Not Include,Duration,Duration Unit,NumHours,Prerequisites,Max Class Size,Years Course Offered,Instructor Credentials,Delivery Method,Schedule,Is HRA,Is SBS
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Legal Office Clerk,In this course provide students with opportunities to understand the range of skills necessary for effective lawyering; improve their abilities to perform lawyering skills that might include  depending on placement location: legal research  drafting and filing legal documents  interviewing clients and witnesses  observing and participating in courtroom activities  discussing legal issues and tactics with a supervising attorney  and confronting ethical issues in the practice of law; begin to identify and reflect on their own strengths and weaknesses as practicing student attorneys and increase self-confidence in their own lawyering abilities; develop productive working relationships with superiors  clients  support staff  and peers; and reflect on their placement experiences through class discussions and exercises  readings  written assignments. Upon completion of training student will receive certificate ofcompletion This is a 16 week program  contact provider for current schedule .,Receptionist  Office Clerk  Executive Secretary  Administrative Assistant  microsoft  office  account  bookkeep  audit  quickbooks  bookkeeper  bookkeeping  excel  word,2200.00,Classroom Hours 192.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,192,Hour(s),192,<p>N/A</p> .,10,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
Kingsborough Community College/ Office of Continuing Education,2001 ORIENTAL BLVD,BROOKLYN,New York,11235,Brooklyn,Coney Island - Sheepshead Bay,7183685832,,http://www.kingsborough.edu/continuinged/Pages/default.aspx,,Some types of Financial Aid are provided.,Toneeka,Crawford,Physical Therapy,The Physical Therapist Assistant AAS degree prepares students with the professional training and hands-on experience for a career as a Physical Therapist Assistant. The degree provides a balance of general education courses and introduces students to the theory and practice of physical therapy through classroom  laboratory  and clinical experiences. The curriculum aligns with the Commission on Accreditation in Physical Therapy Education (CAPTE) criteria and standards to ensure quality in the entry-level preparation of physical therapists assistants and the evolving nature of education  research  and practice characteristics of physical therapy. Students are eligible for licensure exam(s) after the successful completion of the course of study presented in this degree program. . .The curriculum presented here applies to students who started the major in Fall 2021or Spring 2022. If you enrolled as a matriculant prior to that  please see theCollege Catalogfor the year you started the major as a matriculant for the curriculum requirements that apply to you. . .Consultation with the Program Advisor is required. .,,2626.00,Classroom Hours 3.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,3,Hour(s),3,<p>For Program Majors only</p> . .<p>Please link above or call 718-368-4600 to speak to our admission specialist.</p> . .<p>Thank you</p> .,,,,Classroom Training,Check with school to receive most updated schedule,No,No
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,,http://accessqueens.com,,Some types of Financial Aid are provided.,Reema,Gunasingh,Medical Assistant I,The medical Assistant program provides the student with the administrative and clinical skills necessary to function effectively as an assistant in a medical office. The curriculum covers medical terminology  anatomy and physiology  medical office procedures  ICD and CPT coding  medical insurance  and computerized billing. The student learns how to assist the physician by taking a patient&#39;s vital signs and recording the patient&#39;s medical history. The program also provides intensive training in clinical skills including electrocardiography (EKG)  phlebotomy  and CPR. A 100-hour externship enables the student to work in the medical environment he and she is preparing to enter. The Cost of the license Exam(Medical Assistant) is included in the course cost.Upon completion of training student will receive a certificate of completion. . .Language (English) course cost includes (Tuition  Books  Supplies  Materials) . . .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,6000.00,Classroom Hours 170.0   Lab Hours 165.0   Internship Hours 100.0   Practical Hours 165.0,,600,Hour(s),600,<p>High School Diploma Or GED</p> .,12,,,Classroom Training,Check with school to receive most updated schedule,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $5000.
International Development Institute (Manhattan),161 William St 14th Fl,New York,New York,10038,Manhattan,Lower Manhattan,2125941917,212,,,Some types of Financial Aid are provided.,Leomar,Cruz,8 Hour Pre Assignment and 16 Hour On The Job Training,This program includes the 8 Hour Pre Assignment training Course for security gaurdas the first step in obtaining a security guard registration. The course provides the student with a general overview of the duties and responsibilities of a security guard. . .The second requirement is to complete The 16 Hours On the Job training program for Security Guard. This course provides the student with detailed information on the duties and responsibilities a security guard. . .Note: Training program include the Following: Complete training  Security Guard Application fee($36.00)  fingerprinting fee($101.45)  Books ($30.00)  .,guard  security  fire  assignment  safety  officer  correction  enforce,1200.00,Classroom Hours 24.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,24,Hour(s),24,<p>Valid NYS Department of Motor Vehicle ID Identification  The Department of State will be receiving and reviewing information on any prior criminal arrests or convictions. If you have pending criminal charges or a prior conviction  please provide a stat,30,,Licensed by the NYS Education Dept. and NYSDCJS,Classroom Training,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $2000.
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,Certified Wedding Planner,In this course  you will master the fundamentals of planning  orchestrating  and delivering stunning weddings and parties. This course allows you to earn your certification as a professional wedding planner and will give you an opportunity to put your new skills to work in an optional internship. Lastly  it includes the opportunity to receive notifications on internships in your area to get hands-on experience.,,1595.00,Classroom Hours 340.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,340,Hour(s),340,There are no prerequisites for this course.,,,,Web-Based,Check with school to receive most updated schedule,Yes,No
International Development Institute (Manhattan),161 William St 14th Fl,New York,New York,10038,Manhattan,Lower Manhattan,2125941917,212,,,Some types of Financial Aid are provided.,Leomar,Cruz,Cosmetology,The Cosmetology course is an extensive program that trains and prepares students for the New York State Licensure in Cosmetology. Students will then be able to obtain employment in their desired area(s) of the beauty field. The hourly component breakdown for this training is: Professional Requirements  24 Hours; Safety and Health  26 Hours; Anatomy and Physiology  15 Hours; Hair Analysis  10 Hours; Hair and Scalp Disorders and Diseases  10 Hours; Chemistry as Applied to Cosmetology  5 Hours; Shampoos  Rinses  Conditioners and Treatments  30 Hours; Hair Cutting and Shaping  175 Hours; Hair Styling  245 Hours; Chemical Restructuring  180 Hours; Hair Coloring and Lightening  180 Hours; Nail Care and Procedures  40 Hours; Skin Care and Procedures  60 Hours  Total Hours: 1000. Upon completion of training  the student will be certified by the State Education Department and qualified for the Licensed Cosmetologist Examination required by the NYS Division of Licensing Services. .,,15000.00,Classroom Hours 1000.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,1000,Hour(s),1000,<p>High School Diploma  GED or Entrance Test</p> .,20,,Licensed by the NYS Education Department,Classroom Training,Check with school to receive most updated schedule,No,No
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,,http://accessqueens.com,,Some types of Financial Aid are provided.,Reema,Gunasingh,Software Quality Analyst II,A Quality Analyst ensures that software is built according to plan and will meet the expectations of users and businesses. Throughout the software development cycle the analyst is responsible for conducting tests to ensure that quality assurance practice are applied and that software developers are able to correct problems and bring the best possible product to market. The training program covers manual and automated testing  planning and creating tests  tracking defects  and tools such as UNIX and SQL. This program is a comprehensive training which covers all elements of Software Quality Analysis in detail. Upon completion of the training student will receive a completion certificate. . .Language (English) course cost includes (Tuition  Books  Supplies  Materials) .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,3800.00,Classroom Hours 32.0   Lab Hours 32.0   Internship Hours 32.0   Practical Hours 32.0,,128,Hour(s),128,<p>High School Diploma or GED.</p> .,,,,Classroom Training,Check with school to receive most updated schedule,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $2200.
International Development Institute (Brooklyn),613 BRIGHTON BEACH AVE FL 2,BROOKLYN,New York,11235,Brooklyn,Coney Island - Sheepshead Bay,7186150303,2126150325,,,Some types of Financial Aid are provided.,Leomar,Cruz,BUILDING MAINTENANCE TECHNICIAN - Russian,This course prepares the student to function in a residential  commercial  and office buildings or retail maintenance environment as a Building Maintenance Technician.The courses will consist of residential and commercial training program with concentration in the following areas: Buildings and Housing Maintenance Code of the City of New York Recycling Procedures Basic Wiring and Electrical Repairs Basic Plumbing Projects and Repairs Office Buildings  Residential Commercial Buildings also the student are prepare to obtain the following licenses: NYFD Certificate of Fitness  Boiler Operator #6  NYFD Certificate of Fitness  Sprinkler and Standpipe Systems Maintenance  NYC Dept of Environmental Protection  Air Pollution Control Certificate. At the completion of this course the student will qualify for work in: Building Maintenance Residential and Commercial  Office Buildings  Hi Rise Buildings  Hotels  and Motels.The instruction and course books for thiscourse are in theRussian language. Upon completion of training student will receive certificate of completion.,,9500.00,Classroom Hours 124.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 16.0,,140,Hour(s),140,GED High School Diploma or Entrance Test,25,,,Classroom Training,Check with school to receive most updated schedule,No,No
Kingsborough Community College/ Office of Continuing Education,2001 ORIENTAL BLVD,BROOKLYN,New York,11235,Brooklyn,Coney Island - Sheepshead Bay,7183685832,,http://www.kingsborough.edu/continuinged/Pages/default.aspx,,Some types of Financial Aid are provided.,Toneeka,Crawford,Welding,This rigorous  hands-on 120-hour training  has been designed to fully support participants for success and to provide trainees with the skills needed in construction  fabrication  plant maintenance settings and more. This training provides trainees with hands on skills training which includes 90 hours in our state of the art welding training booths in STICK  MIG and TIG welding as well as Shielded Metal Arc Welding (SMAW). .,,3800.00,Classroom Hours 120.0   Lab Hours 90.0   Internship Hours 0.0   Practical Hours 0.0,,210,Hour(s),210,<p>18+ years or older</p> .,,,,Web-Based,Check with school to receive most updated schedule,No,No
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Administration SQL Server,In this course will give a general overview of the Database SQL Language and how its components effectively fit together  and help you determine which tools/interfaces best suit your application. Student will learn how to get started building your database and gain a basic understanding of how to use database administration utilities. The course material will be explained using examples of practical problems and planning opportunities. Upon completion of training student will receive certificate ofcompletionThis is a 8 week program  contact provider for current schedule .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,3800.00,Classroom Hours 96.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,96,Hour(s),96,<p>GED or High School Diploma</p> .,5,,,Classroom Training,Check with school to receive most updated schedule,No,No
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Computerized Office Clerk,Computerized Office Technology is designed to introduce students to the foundational skills required for todays business office. Emphasis is placed on developing proficiency with touch keyboarding and fundamental computer applications used in word processing  spreadsheets  database  and presentation programs. Participants will learn Basic Business   Computer Concepts  Word  Excel  Access  PowerPoint  Exemplary Customer Service Skills  Employer Expectations. Upon completion of training student will receive certificate ofcompletion This is a 16 week program  contact provider for current schedule .,Receptionist  Office Clerk  Executive Secretary  Administrative Assistant  microsoft  office  account  bookkeep  audit  quickbooks  bookkeeper  bookkeeping  excel  word,2500.00,Classroom Hours 192.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,192,Hour(s),192,<p>Basic Computer Skills.</p> .,5,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
International Development Institute (Manhattan),161 William St 14th Fl,New York,New York,10038,Manhattan,Lower Manhattan,2125941917,212,,,Some types of Financial Aid are provided.,Leomar,Cruz,NURSING ASSISTANT/NURSE AIDE,This courseprepares the student to enter the workforce of patient care providersin hospitals  Nursing Homes and health-related facilities. Nursing Assistants  also known as Nursing Aides  Geriatric Aides  Assistive Personnel  or Hospital Attendants  perform routine tasks under the supervision of nursing and medical staff. They answer patients&#39; requests  deliver messages  serve meals  make beds  and help patients eat  dress  and bathe. Aides also provide skin care to patients; take temperatures  pulse  respiration  and blood pressure; Upon completion of training student will receive certificate of completion. .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,2500.00,Classroom Hours 95.0   Lab Hours 0.0   Internship Hours 30.0   Practical Hours 0.0,,125,Hour(s),125,<p>High School Diploma GED or Entrance Test. The physical and uniform is not included in the tuition.</p> .,20,,Licensed by the NYS Education Department,Classroom Training,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800.
Kingsborough Community College/ Office of Continuing Education,2001 ORIENTAL BLVD,BROOKLYN,New York,11235,Brooklyn,Coney Island - Sheepshead Bay,7183685832,,http://www.kingsborough.edu/continuinged/Pages/default.aspx,,Some types of Financial Aid are provided.,Toneeka,Crawford,Nutrition and Personal Trainer,This program provides learners extensive content to build coaching skills based on proven cognitive-behavioral theories of motivating clients towards behavior changes. Learners will attain expertise in effective coaching and communication methods to promote long-term changes in clients&#39; nutrition and wellness habits. Learners will also gain proficiency in client/patient privacy  ethical and professional standards of practice  and will be prepared to work alongside fitness professionals and licensed nutritionists to assist clients in setting and achieving health and wellness goals. .,,3999.00,Classroom Hours 422.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,422,Hour(s),422,,,,,Web-Based,Check with school to receive most updated schedule,No,No
New Age Training,145 W 30TH ST FL 8,NEW YORK,New York,10001,Manhattan,Chelsea - Clinton,2129477940,,http://www.newagetraining.com,,Some types of Financial Aid are provided.,Daniel,Ioffe,Clinical Medical Assistant,This program provides training in clinical procedures used by entry level clinical medical assistants working in hospitals  clinics  doctor's offices  and other healthcare settings. . .Medical assistants have always been critical employees in the health care system  but they are becoming even more important as the industry expands  technology advances  and the population ages. What makes medical assistants so important? Well they are the ones who make sure a patient receives the best possible care from the time he enters a hospital  doctor's office  or other medical facility to the time he leaves. For medical assistants  the job can be both professionally and emotionally rewarding and can also serve as a stepping stone to another position in the medical field; with training as a medical assistant  you will have the basic knowledge necessary to begin building a career in the health care field. . .Topics Covered: . . . Anatomy  Physiology Medical Terminology - 75 hrs . Infection Control and OSHA - 50 hrs . Patient Safety  Medical Emergencies - 25 hrs . Medical Office Clinical Practices - 75 hrs . Phlebotomy  EKG - 125 hrs . Internship - 100 hrs . . .Upon completion of training student will receive certificate of completion . .Program will prepare students for NHA Clinical Medical Assistant Certification exam CCMA)  NHA Certified Phlebotomy Technician Certification exam (CPT)  and for NHA Certified EKG Technician Certification exam (CET). . .The total cost of the program includes a cost of CCMA NHA certification exam if the exam has been scheduled and taken within 3 months from a graduation date. .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,4995.00,Classroom Hours 200.0   Lab Hours 80.0   Internship Hours 100.0   Practical Hours 70.0,,450,Hour(s),450,<p>High School/GED</p> .,,,,Apprenticeship,Check with school to receive most updated schedule,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $5000.
Sunny Truck Driving School INC,41-26 College Point Blvd 2nd Fl,Flushing,New York,11355,Queens,Flushing - Clearview,7183536745,,,,Some types of Financial Aid are provided.,Gurcharan,Singh,Class B Career Program,36 Hour Class B Program. Classroom and Vehicle Training. Federal Entry Level Driver TrainingPreparation. . .Job Placement Assistance and School Certificate. 2 State Road Test Attempts . .Federal ELDT Compliant Course .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,4000.00,Classroom Hours 12.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 24.0,,36,Hour(s),36,<p>CDL Learner&#39;s permit</p> .,,,,Classroom Training,Check with school to receive most updated schedule,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $2000.
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,,http://accessqueens.com,,Some types of Financial Aid are provided.,Reema,Gunasingh,Home Health Aide (HHA),A Home Health Aide works in the home of an individual who is elderly  disabled or in rehabilitation. The HHA provides services in the form of household management and personal client care. The program covers working effectively with home care clients  working with the mentally ill and disabled  administering prescribed oral medication  maintaining patient care records  taking vital signs  nutrition and meal preparation  assisting with a prescribed exercise program  assisting with the use of prescribed medical equipment  assisting with dressing changes  and assisting with ostomy care. Other topics include legal issues  care of the home and personal belongings  and safety and injury prevention. Upon completion of training student will receive a certificate of completion. . .Language (English) course cost includes (Tuition  Books  Supplies  Materials) .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,750.00,Classroom Hours 28.0   Lab Hours 28.0   Internship Hours 8.0   Practical Hours 19.0,,83,Hour(s),83,<p>High School Diploma  GED  Ability to Benefit</p> .,15,,RN,Classroom Training,Check with school to receive most updated schedule,Yes,No
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Ms Office Package (TAA ONLY),Ms Office package course is has designed to introduce students to the foundational skills required for today business office. Emphasis is placed on developing proficiency with touch keyboarding and fundamental computer applications used in word processing  spreadsheets  database  and presentation programs. Participants will learn Basic Business   Windows  Internet Explorer   Computer Concepts  keyboarding  Word  Excel  Access  PowerPoint  Outlook Exemplary Customer Service Skills  Employer Expectations. etc course from Basic to Advanced Level.Course components detail posted as following: Keyboarding I 120 Hours cost $1200.00 Keyboarding II 120 Hours cost $1200.00 Introduction to Computers Technology 80 Hours cost $800.00 Ms Word I 80 Hours cost $800.00 Ms Word II 80 Hours cost $800.00 Ms Excel I 120 Hours cost $1200.00 Ms Excel II 120 cost $1200 Ms PowerPoint 76 Hours cost $760.00 Ms Access 120 Hours cost $1200.00 Ms Outlook 60 Hours cost $600.00 QuickBooks 120 Hours cost $1200.00  Peachtree 120 Hours cost $1200.00 Upon completion of training student will receive certificate of completion. This is more than one year program  contact provider for current schedule .,,12160.00,Classroom Hours 648.0   Lab Hours 552.0   Internship Hours 0.0   Practical Hours 0.0,,1200,Hour(s),1200,,20,,,Classroom Training,Check with school to receive most updated schedule,No,No
International Development Institute (Brooklyn),613 BRIGHTON BEACH AVE FL 2,BROOKLYN,New York,11235,Brooklyn,Coney Island - Sheepshead Bay,7186150303,2126150325,,,Some types of Financial Aid are provided.,Leomar,Cruz,Medical Office Administration,This course is designed to assist students in learning the necessary skills  knowledge and concepts needed for a career as a Medical Office Administration. Medical administrators keep healthcare offices running efficiently. They perform highly specialized work requiring knowledge of medical terminology and procedures. Administrators assist physicians and medical scientists with reports  record simple medical histories  arrange for patients to be hospitalized  and order supplies. Upon completion of training student will receive certificate of completion.,,10000.00,Classroom Hours 180.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,180,Hour(s),180,High School Diploma GED or Entrance Test,20,,Licensed by the New York State Education Department,Classroom Training,Check with school to receive most updated schedule,No,No
International Development Institute (Manhattan),161 William St 14th Fl,New York,New York,10038,Manhattan,Lower Manhattan,2125941917,212,,,Some types of Financial Aid are provided.,Leomar,Cruz,BUILDING MAINTENANCE TECHNICIAN - SPANISH,The Building Maintenance Technician is responsible for performing daily building maintenance tasks This course prepares the student to function in a residential  commercial  and office buildings or retail maintenance environment as a Building Maintenance Technician. The building maintenance courses consist of residential and commercial training program with concentration in the following areas: Buildings and Housing Maintenance Code  Recycling Procedures Basic Wiring and Electrical Repairs Basic Plumbing Office Buildings  Residential Commercial Buildings also the student are prepare to obtain the following licenses: NYFD Certificate of Fitness  Boiler Operator  NYFD Certificate of Fitness  Sprinkler and Standpipe Systems Maintenance  NYC Department of Environmental Protection  Air Pollution Control Certification. . .This course covers the following topics: . .&bull; NYC Building and Maintenance Code .&bull; Boiler Operator .&bull; Recycling Procedures .&bull; Basic Electricity .&bull; Basic Plumbing .&bull; Sprinklers and Standpipe Systems Maintenance . .Obtain 4 different types of certification such as: . .&bull; Boiler Operator .&bull; Air Pollution Control Certification .&bull; Sprinkler and Standpipe System Maintenance .&bull; Building Maintenance Certification . .At the completion of this program  the student will qualify for work in: Building Maintenance Residential and Commercial buildings  Hospitals  Malls  Public and private Schools  college campus. Office Buildings  Hi Rise Buildings  Hotels  Motels. . .Studentssuccessfully completing the program receive a Certificate of Completion  Building Maintenance Technician. The instruction and course books for thiscourse are in the Spanishlanguage. .,ground  commercial  fire  safety  clean  maintenance  residential  sprinkler  environment,9500.00,Classroom Hours 124.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 16.0,,140,Hour(s),140,<p>GED High School Diploma or Entrance Test</p> .,25,,Licensed by the NYS Education Department,Classroom Training,Check with school to receive most updated schedule,No,No
J&S Reliance Driving School,9807 ASTORIA BLVD,EAST ELMHURST,New York,11369,Queens,West Queens,3472694001,,http://www.jsdrivingschool.com,,Some types of Financial Aid are provided.,Jacky,Li,CDL B - P/S Driver Training,The Driver Career FLEXIBLE Training Program for CDL (class B-P/S) license withPassenger and School bus endorsements. Using automatic Air Brake BUS  the vehicles over 26 001 lbs. . .The trainingpackageincludesFLEXIBLE provide English instruction  a second auxiliary language (Mandarin Chinese  Spanish) classroom instructions for Commercial Driver's Manual (General Knowledge  Safety and passenger sections)  Air Brake Regulations  Pre-trip Inspection. The 18 hours behind the wheel training and 4 hours in classroom training lessons. Upon completion of training the student will receive Certificate of Completion. Up to 2 road test chances and including DMV fee. . . Lifetimes provide job placement assistance. . . .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,2000.00,Classroom Hours 2.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 18.0,,20,Hour(s),20,<p>Applying for the CDL License course must have a valid CDL permit.</p> .,,,,Classroom Training,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $2000.
CitySafe Partners,230 W 135 St,New York,New York,10030,Manhattan,Central Harlem - Morningside Heights,8557773482,,,,Some types of Financial Aid are provided.,Soyini,ChanShue,Eight Hour Pre-Assignment Training Course For Security Guards,This is an 8 hour Pre-Assignment Training Course for Security Guards .,,175.00,Classroom Hours 8.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,8,Hour(s),8,,35,,Phd  Licesnsed MOI Training,Classroom Training,Check with school to receive most updated schedule,Yes,No
BOROUGH OF MANHATTAN COMMUNITY COLLEGE,25 BROADWAY FL 8,NEW YORK,New York,10004,Manhattan,Lower Manhattan,2123468433,,https://www.bmcc.cuny.edu/ce/,,Some types of Financial Aid are provided.,Eula,Henry,A+ Certification,This course prepares students for IT jobs as a Computer Technical Support Specialist. You will gain hands-on experience and learn how to disassemble and reassemble computers and learn the functions of each component  install Operating Systems  and troubleshoot common hardware and software related problems. This course will prepare you for more advanced topics and for the CompTIA A+ Certification Exam (901 902) validating your skills as an IT professional.,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,1299.00,Classroom Hours 72.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,72,Hour(s),72,Recommended: GED or High School Diploma,10,,PC Technician  Sr. PC Technician  IT Supervisor  IT Manager and Network Engineer & CompTIA A + Certification,Classroom Training,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800.
The Inspired Community Project  Inc,1864 Adam Clayton Powell Jr Blvd Apt 44,New York,New York,10026,Manhattan,Central Harlem - Morningside Heights,6463456954,,https://theinspiredcommunityproject.org/,,Some types of Financial Aid are provided.,Jillian,Moses,Behavior Technician,Our Behavior Technicianprogram provides comprehensive training to prepare participants for employment. The program consists of four modules covering essential topics. Module 1: Working with the neurodiverse community Introduction to Applied Behavior Analysis (ABA) and Registered Behavior Technicians (RBTs). Certification pathways and quality standards.Module 2: Measurement Introduction to data collection  measurement techniques  and graphing. Skill acquisition and promoting generalization.Module 3: Behavior Reduction Essential behavior reduction procedures and documentation. Crisis procedures and effective reporting.Module 4: Professional Conduct Scope of Practice Ethics guidelines  supervision requirements  and maintaining professional boundaries.The Pre-Employment Required Training equips participants with foundational knowledge and skills in health and safety  early intervention  behavior management  and professional conduct to succeed in their future employment. .,,25000.00,Classroom Hours 50.0   Lab Hours 50.0   Internship Hours 50.0   Practical Hours 100.0,,250,Hour(s),250,,8,,BCBA  NY-LBA,Apprenticeship,Check with school to receive most updated schedule,No,No
Medical Training Institute of New York,211 E 43rd St 2nd Fl,New York,New York,10017,Manhattan,Gramercy Park - Murray Hill,2122062554,2128048577,www.mtiofnewyork.com,,Some types of Financial Aid are provided.,Ishmeal,alarbi,Clinical Medical Assistant,Course Overview . . .Our Clinical Medical Assistant program will prepare students to handle a wide range of health care services and tasks ranging from Medical Laboratory practices and clinical patient procedures for the private and public sectors and hospitals. . .The Clinical Medical Assistant program at theMedical Training Institute of New Yorkis designed to prepare students to assist medical providers by performing basic clinical duties in doctor's offices  Clinics  and/or medical centers. . .The core curriculum covers a variety of subjects  including EKG  Phlebotomy  medical practice  medical law and ethics  patient preparation  and basic laboratory procedures and tests. The courses are grouped around the knowledge and skills required for clinical medical assistance. . .Students must complete a supervised clinical externship at a medical facility that includes competencies  logs  and evaluations completed by the student. After the program  graduates who have diligently attended class and their externship  studied  and practiced their skills should have the necessary skills to seek entry-level employment as medical assistants. .,,4990.00,Classroom Hours 250.0   Lab Hours 80.0   Internship Hours 100.0   Practical Hours 20.0,,450,Hour(s),450,,20,,Medical doctor,Classroom Training,Check with school to receive most updated schedule,No,No
MENOTTI ENTERPRISE LLC,1250 WATERS PL,BRONX,New York,10461,Bronx,Pelham - Throgs Neck,7185818280,,http://www.menottienterprise.com,,Some types of Financial Aid are provided.,Sal,Ferrer,40 Hr NYC DOB Worker Site Safety Training,This course incorporates the OSHA 30 and the NYC Department of Buildings (DOB) Site Safety Training (SST) 10 Hour Safety Worker Training.,,400.00,Classroom Hours 40.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,40,Hour(s),40,None,40,,OSHA Authorized Construction Trainer,Classroom Training,Check with school to receive most updated schedule,Yes,No
